제목,저자,출판사,출판일,판매가,정가,판매지수,리뷰수,평점,판매가_num,정가_num,판매지수_num,출판월,할인율
"요즘 바이브 코딩 클로드 코드 완벽 가이드 요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램",최지호저,골든래빗,2025년 09월,"21,600원","24,000원","24,840",15,8.1,21600,24000,24840,2025-09,10.0
"AI 엔지니어링 파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌저/변성윤역,한빛미디어,2025년 09월,"36,000원","40,000원","13,887",11,9.8,36000,40000,13887,2025-09,10.0
"바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다",애디 오스마니저/강민혁역,한빛미디어,2025년 11월,"20,700원","23,000원","6,309",25,9.7,20700,23000,6309,2025-11,10.0
혼자 공부하는 머신러닝+딥러닝 케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선저,한빛미디어,2025년 04월,"28,800원","32,000원","18,906",141,9.7,28800,32000,18906,2025-04,10.0
"이게 되네? AI 쇼츠 만들기 미친 자동화 22제 인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성,영상 제작,유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영저,골든래빗,2026년 01월,"23,400원","26,000원",,0,0.0,23400,26000,0,2026-01,10.0
AI 리터러시 : 인공지능 필수 지식부터 완벽 활용까지 여전히 챗GPT만 붙들고 있는 당신에게,김용성저,프리렉,2024년 12월,"22,500원","25,000원","33,198",178,9.7,22500,25000,33198,2024-12,10.0
요즘 개발자를 위한 시스템 설계 수업 기초 개념부터 X·인스타그램·구글 독스·넷플릭스 사례 학습과 면접 대비까지,"디렌드라 신하,테자스 초프라저/양문규역",길벗,2025년 09월,"31,500원","35,000원","7,230",16,9.9,31500,35000,7230,2025-09,10.0
혼자 공부하는 컴퓨터 구조+운영체제,강민철저,한빛미디어,2022년 08월,"25,200원","28,000원","17,283",117,9.8,25200,28000,17283,2022-08,10.0
"2022 개정 교육과정 평가, AI로 날개를 달다 (개념기반 교육과정) 백워드 설계, 루브릭, 성장중심평가, AI코스웨어, 사회정서학습, IB교육, 평가와 피드백 지원 플랫폼","지미정,오한나,노명호,권의선,김영수저 외 4명정보 더 보기/감추기지미정오한나노명호권의선김영수이진원장희영소민영조보현",앤써북,2024년 09월,"18,900원","21,000원","20,922",18,9.9,18900,21000,20922,2024-09,10.0
밑바닥부터 시작하는 딥러닝 1 파이썬으로 익히는 딥러닝 이론과 구현,사이토 고키저/개앞맵시역,한빛미디어,2025년 01월,"23,400원","26,000원","13,134",137,9.2,23400,26000,13134,2025-01,10.0
